,Parents_education_year,mean_math,mean_reading,mean_science,mean_wealth,mean_entertainment,mean_possessions,size,SR_size
1,"(2,3]",401.8642495,407.6125258,409.488649,0.249574531,1.031832101,0.145313967,3408,58.37807808
2,"(3,4]",385.3117039,389.6110197,394.3972365,1.049275362,1.431085507,0.949275362,69,8.306623863
3,"(4,5]",439.3972404,458.1319648,458.4624522,0.817706619,1.609303077,0.863073345,2795,52.86775955
4,"(5,7]",421.8706736,428.4849197,425.7896369,0.518164686,1.262012603,0.438331727,9339,96.63850164
5,"(7,8]",451.4724207,459.5528176,465.0897562,1.538079248,1.892902409,1.510709369,11912,109.1421092
6,"(8,9]",451.7088253,452.9924499,450.681925,0.880400838,1.564484176,0.796162955,19085,138.1484709
7,"(9,10]",452.9250332,457.4297301,463.3496249,1.792759787,1.7468529,1.627689705,4138,64.32728814
8,"(10,11]",491.4568315,486.6995142,495.2664386,1.486127312,2.051997423,1.549285863,14437,120.1540678
9,"(11,12]",480.9368485,485.4911927,489.6181717,1.72784514,1.909410875,1.681246171,56477,237.6489007
10,"(12,13]",508.2847006,504.6049358,510.8260922,1.934854281,2.05883161,2.010063752,27450,165.6804153
11,"(13,14]",484.7737492,489.9078755,488.4880643,1.668622088,1.910479777,1.722853127,18499,136.011029
12,"(14,15]",509.0193661,509.8517707,516.4789291,2.030699532,2.060424391,2.098970434,31421,177.2596965
13,"(15,16]",513.3036995,511.0685923,514.8500896,1.901064613,1.950067105,2.04918858,39930,199.8249234
14,"(16,17]",518.904989,520.379823,526.7064976,2.229314139,2.113525384,2.389810825,37267,193.0466265
15,"(17,18]",540.5157538,521.93453,530.3774132,2.232900469,2.041904384,2.440539013,7254,85.1704174
